cgdivision,ownergroup,pmnum,pmdescription,jpdescription,nexttrigger,unitstogo,alias,assetdescription,locdescription,metername,lastreading,pmstatus,assetstatus,assetnum,frequency,tolerance,wonum,wodescription,reportdate,lastpmwogenread,dayslate,curjpdescription,unitslate
String,String,String,String,String,Float,Float,String,String,String,String,Float,String,String,String,Float,Float,String,String,DateTime,Float,Integer,String,Integer
TRANSIT,TR-WESTNEY-WO,PM36493,8532 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1110082,8425,8532,2012 - CONVENTIONAL NEW FLYER - 8532,DRT WESTNEY GARAGE,ODOMETER,1101657,ACTIVE,OPERATING,1200124,10000,1000,T1071670,8532 - SERVICE INSPECTION,2026-02-02 3:01,1099780,10,CONVENTIONAL NEW FLYER - B SERVICE,1575
TRANSIT,TR-WESTNEY-WO,PM64618,6155 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,103987,8606,6155,2024 - CONVENTIONAL NOVA - 6155,DRT WESTNEY GARAGE,ODOMETER,95381,ACTIVE,OPERATING,1568402,10000,1000,T1072251,6155 - SERVICE INSPECTION,2026-02-10 3:05,94114,2,CONVENTIONAL NOVA - D SERVICE,1394
TRANSIT,TR-WESTNEY-WO,PM36553,8547 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,886284,8652,8547,2014 - CONVENTIONAL NEW FLYER - 8547,DRT WESTNEY GARAGE,ODOMETER,877632,ACTIVE,OPERATING,1200139,10000,1000,T1071833,8547 - SERVICE INSPECTION,2026-02-04 3:01,875356,8,CONVENTIONAL NEW FLYER - B SERVICE,1348
TRANSIT,TR-WESTNEY-WO,PM62120,6124 - SERVICE INSPECTIONS,CONVENTIONAL NOVA HYBRID - D SERVICE,273720,8776,6124,2022 - CONVENTIONAL NOVA HYBRID - 6124,DRT WESTNEY GARAGE,ODOMETER,264944,ACTIVE,OPERATING,1540691,10000,1000,T1070561,6124 - SERVICE INSPECTIONS,2026-01-17 3:03,262763,26,CONVENTIONAL NOVA HYBRID - A SERVICE,1224
TRANSIT,TR-RALEIGH-WO,PM36709,8589 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,606985,8781,8589,2017 - CONVENTIONAL NOVA LFS- 8589,DRT RALEIGH GARAGE,ODOMETER,598204,ACTIVE,OPERATING,1200178,10000,1000,T1071994,8589 - SERVICE INSPECTION,2026-02-06 3:02,596413,6,CONVENTIONAL NOVA - C SERVICE,1219
TRANSIT,TR-WESTNEY-WO,PM36377,8503 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - D SERVICE,1193566,8814,8503,2011 - CONVENTIONAL NEW FLYER - 8503,DRT WESTNEY GARAGE,ODOMETER,1184752,ACTIVE,OPERATING,1200095,10000,1000,T1071992,8503 - SERVICE INSPECTION,2026-02-06 3:00,1182588,6,CONVENTIONAL NEW FLYER - A SERVICE,1186
TRANSIT,TR-WESTNEY-WO,PM36797,8622 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - D SERVICE,998654,8868,8622,2012 - CONVENTIONAL NEW FLYER- 8622,DRT WESTNEY GARAGE,ODOMETER,989786,ACTIVE,OPERATING,1200200,10000,1000,T1072243,8622 - SERVICE INSPECTION,2026-02-10 3:03,988646,2,CONVENTIONAL NEW FLYER - A SERVICE,1132
TRANSIT,TR-WESTNEY-WO,PM36005,6101 - SERVICE INSPECTION,CONVENTIONAL NOVA - C SERVICE,551533,8921,6101,2018 - CONVENTIONAL NOVA - 6101,DRT WESTNEY GARAGE,ODOMETER,542612,ACTIVE,OPERATING,1200002,10000,1000,T1072237,6101 - SERVICE INSPECTION,2026-02-10 3:00,542057,2,CONVENTIONAL NOVA - A SERVICE,1079
TRANSIT,TR-RALEIGH-WO,PM36637,8571 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,729283,8993,8571,2017 - CONVENTIONAL NOVA  - 8571,DRT RALEIGH GARAGE,ODOMETER,720290,ACTIVE,OPERATING,1200160,10000,1000,T1071756,8571 - SERVICE INSPECTION,2026-02-03 3:01,718327,9,CONVENTIONAL NOVA - D SERVICE,1007
TRANSIT,TR-RALEIGH-WO,PM36013,6103 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,587288,9012,6103,2018 - CONVENTIONAL NOVA - 6103,DRT RALEIGH GARAGE,ODOMETER,578276,ACTIVE,OPERATING,1200004,10000,1000,T1072071,6103 - SERVICE INSPECTION,2026-02-07 3:00,576694,5,CONVENTIONAL NOVA - A SERVICE,988
TRANSIT,TR-WESTNEY-WO,PM36809,8625 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - D SERVICE,975086,9077,8625,2012 - CONVENTIONAL NEW FLYER- 8625,DRT WESTNEY GARAGE,ODOMETER,966009,ACTIVE,OPERATING,1200203,10000,1000,T1071214,8625 - SERVICE INSPECTION,2026-01-27 3:03,964089,16,CONVENTIONAL NEW FLYER - A SERVICE,923
TRANSIT,TR-WESTNEY-WO,PM36769,8615 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,940041,9088,8615,2012 - CONVENTIONAL NEW FLYER- 8615,DRT WESTNEY GARAGE,ODOMETER,930953,ACTIVE,OPERATING,1200193,10000,1000,T1072242,8615 - SERVICE INSPECTION,2026-02-10 3:02,930191,2,CONVENTIONAL NEW FLYER - C SERVICE,912
TRANSIT,TR-RALEIGH-WO,PM36725,8604 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1026201,9103,8604,2012 - CONVENTIONAL NEW FLYER- 8604,DRT RALEIGH GARAGE,ODOMETER,1017098,ACTIVE,OPERATING,1200182,10000,1000,T1072241,8604 - SERVICE INSPECTION,2026-02-10 3:02,1016448,2,CONVENTIONAL NEW FLYER - B SERVICE,897
TRANSIT,TR-WESTNEY-WO,PM36533,8542 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,965759,9159,8542,2013 - CONVENTIONAL NEW FLYER - 8542,DRT WESTNEY GARAGE,ODOMETER,956600,ACTIVE,OPERATING,1200134,10000,1000,T1072238,8542 - SERVICE INSPECTION,2026-02-10 3:01,955626,2,CONVENTIONAL NEW FLYER - B SERVICE,841
